2021-04-07 14:39:15 INFO  Logging:12 - Info here
2021-04-07 14:39:15 FATAL Logging:14 - Fatal here
2021-04-07 14:39:15 ERROR Logging:15 - Error here
2021-04-07 14:39:15 WARN  Logging:17 - Warning here
2021-04-07 14:41:12 INFO  consoleRunner:43 - Logged in successfully
2021-04-07 16:16:46 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:17:58 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:18:52 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:20:13 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:22:44 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:38:13 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 16:44:02 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 18:53:06 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 18:53:40 INFO  ConsoleRunner:83 - Executing Create Query
2021-04-07 18:55:06 INFO  ConsoleRunner:83 - Executing Create Query
2021-04-07 19:47:28 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 19:48:10 INFO  ConsoleRunner:72 - Executing Use Query
2021-04-07 19:49:25 INFO  ConsoleRunner:83 - Executing Create Query
2021-04-07 19:52:08 INFO  ConsoleRunner:83 - Executing Create Query
2021-04-07 19:54:43 INFO  ConsoleRunner:83 - Executing Create Query
2021-04-07 19:56:35 INFO  ConsoleRunner:112 - Executing Insert Query
2021-04-07 19:57:05 INFO  ConsoleRunner:112 - Executing Insert Query
2021-04-07 19:57:22 INFO  ConsoleRunner:112 - Executing Insert Query
2021-04-07 19:57:34 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 19:57:34 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@66d33a
2021-04-07 19:57:35 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 19:57:35 INFO  SelectQuery:32 - query doesn't contain WHERE clause
2021-04-07 19:57:35 INFO  SelectQuery:33 - Fetching all table employee records
2021-04-07 19:57:35 INFO  SelectQuery:35 - Returned all the table employee records
2021-04-07 19:58:45 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 19:58:45 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@3f0ee7cb
2021-04-07 19:58:45 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 19:58:45 INFO  SelectQuery:40 - Query has a WHERE clause-- fetching records from conditional clause
2021-04-07 19:58:45 INFO  SelectQuery:51 - Added selected records to data structure
2021-04-07 20:03:26 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 20:03:31 INFO  ConsoleRunner:72 - Executing Use Query
2021-04-07 20:03:44 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 20:03:44 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@4b6995df
2021-04-07 20:03:44 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 20:03:44 INFO  SelectQuery:40 - Query has a WHERE clause-- fetching records from conditional clause
2021-04-07 20:03:44 INFO  SelectQuery:51 - Added selected records to data structure
2021-04-07 20:08:40 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 20:08:45 INFO  ConsoleRunner:72 - Executing Use Query
2021-04-07 20:08:56 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 20:08:56 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@4b6995df
2021-04-07 20:08:56 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 20:08:56 INFO  SelectQuery:32 - query doesn't contain WHERE clause
2021-04-07 20:08:56 INFO  SelectQuery:33 - Fetching all table employee records
2021-04-07 20:08:56 INFO  SelectQuery:35 - Returned all the table employee records
2021-04-07 20:10:05 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 20:10:05 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@721e0f4f
2021-04-07 20:10:05 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 20:10:05 INFO  SelectQuery:40 - Query has a WHERE clause-- fetching records from conditional clause
2021-04-07 20:10:05 INFO  SelectQuery:51 - Added selected records to data structure
2021-04-07 20:39:18 INFO  ConsoleRunner:39 - Logged in successfully
2021-04-07 20:39:23 INFO  ConsoleRunner:72 - Executing Use Query
2021-04-07 20:40:02 INFO  ConsoleRunner:119 - Executing Select Query
2021-04-07 20:40:02 INFO  SelectQuery:26 - Table employee present in the database CreateOperation.Use@4b6995df
2021-04-07 20:40:02 INFO  SelectQuery:29 - Fetching table employee metadata
2021-04-07 20:40:02 INFO  SelectQuery:40 - Query has a WHERE clause-- fetching records from conditional clause
2021-04-07 20:40:02 INFO  SelectQuery:51 - Added selected records to data structure
2021-04-07 20:44:34 INFO  ConsoleRunner:39 - Logged in successfully
